standardized_smiles,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36,odor_37,odor_38,odor_39,odor_40,odor_41,odor_42,odor_43,odor_44,odor_45,odor_46,odor_47,odor_48,odor_49,odor_50,odor_51,odor_52,odor_53,odor_54,odor_55,odor_56,odor_57,odor_58,odor_59,odor_60,odor_61,odor_62,odor_63
C=C(C)C1CCC2=CCCC(C)C2(C)C1,Building materials &,Citrus,Citrus,Fragrant,Fragrant,Fragrant/ Fruity,Fragrant/ Fruity,Fresh,Fruity,Fruity,Grassy/ Woody,Green,Lemon,Non-food items,Sweet,Woody,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2CC(=O)CC(C)C2(C)C1,Citrus,Fragrant/ Fruity,Fragrant/ Fruity,Fruity,Fruity,Lemon,Nature,Other,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C=CC(CCC(C)=O)C(C)C,Dry woods,Fragrant/ Fruity,Fruity,Grassy/ Woody,Herbaceous,Herbaceous,Herbaceous,Nature,Sweet,Tobacco smoke,Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C=O,Floral,Fragrant,Fragrant/ Fruity,Green,Nature,Vegetation,Vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CC(C)=O,Food,Foul,Nose Feel,Pungent,Sharp/ Pungent,Sickening,Synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CC(C)OC(=O)C(C)C,Aromatic,Floral,Floral,Fragrant,Fragrant,Fragrant/ Fruity,Herbaceous,Nature,Nature,Other,Sweet,Vegetation,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCC(C)=O,Food,Fragrant/ Fruity,Green,Vegetation,Vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)=CCC(C)C=O,Chemical/ Hydrocar,Floral,Fragrant,Fragrant,Fragrant/ Fruity,Fragrant/ Fruity,Fruity,Lemon,Nature,Nature,People & animals,Soft floral,Sweet,Sweet,Waxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CCO,Beverage,Building materials &,Citrus,Citrus,Cleaning materials,Earthy/ Musty/ Mol,Earthy/ Musty/ Mol,Earthy/ Musty/ Mol,Floral,Floral,Floral,Floral,Floral,Floral,Food,Food,Fragrant,Fragrant,Fragrant,Fragrant,Fragrant,Fragrant,Fragrant,Fragrant/ Fruity,Fragrant/ Fruity,Fresh,Fruity,Fruity,Lemon,Lemon,Metallic,Nature,Nature,Nature,Non-food items,Nose Feel,Plants,Sharp/ Pungent,Soft floral,Soft floral,Spices,Spices,Sweet,Sweet,Sweet,Terpenes/ Pine/ Lem,Vegetables,Waxy,Waxy,Woody/ Resinous,,,,,,,,,,,,,
C=C(C)CCCC(C)CCOC(=O)C(C)C,Floral,Floral,Floral,Food,Fragrant,Fragrant,Fragrant,Fragrant,Fragrant/ Fruity,Fruity,Nature,Nature,Other,Spices,Sweet,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
